Genus,IDs_x,IDs_y
Rhodobacter,"['1269613275', '1269612507', '1269612502', '1269612500', '1269612490', '1269612489', '1269612488', '1269612479', '1269612477', '1269612475', '1269612474', '1269612451', '1269612450', '1269612438', '1206270963', '1206255496', '1190331835', '1189397776', '1189397775', '1172384974']","['1269613275', '1269612507', '1269612502', '1269612500', '1269612490', '1269612489', '1269612488', '1269612479', '1269612477', '1269612475', '1269612474', '1269612451', '1269612450', '1269612438', '1206270963', '1206255496', '1190331835', '1189397776', '1189397775', '1172384974']"
Rhodococcus,"['1635510449', '1985647577', '1985646384', '1985646283', '1985644524', '1985644137', '1985644120', '1985643949', '1985643837', '1962354226', '1962354070', '1795741206', '1795741205', '1795714493', '1795714492', '1795714491', '1795714490', '1795714484', '1691161437', '1691161424']","['1635510449', '1985647577', '1985646384', '1985646283', '1985644524', '1985644137', '1985644120', '1985643949', '1985643837', '1962354226', '1962354070', '1795741206', '1795741205', '1795714493', '1795714492', '1795714491', '1795714490', '1795714484', '1691161437', '1691161424']"
Rhodocyclaceae bacterium,[],[]
Rhodocyclus,"['186929355', '219968269', '2961329']","['186929355', '219968269', '2961329']"
Rhodocytophaga,"['1985646754', '1985644906', '1985644874', '1985644466', '1962355961']","['1985646754', '1985644906', '1985644874', '1985644466', '1962355961']"
Rhodoferax,"['1985643684', '1328369214', '1206270438', '1206270172', '1206269896', '1206269605', '1079706111', '1079706067', '1041792262', '1033473130', '998613565', '692313606', '672229600', '519113572', '666418741', '666418740', '666418722', '296531546', '296531541', '378401443']","['1985643684', '1328369214', '1206270438', '1206270172', '1206269896', '1206269605', '1079706111', '1079706067', '1041792262', '1033473130', '998613565', '692313606', '672229600', '519113572', '666418741', '666418740', '666418722', '296531546', '296531541', '378401443']"
Rhodomicrobium,"['1985647826', '1985647564', '1962353931', '1269612509', '1269612508', '402230905', '304656619', '403219305', '289176889', '288860000', '288859999', '285310496', '285307427', '186929337', '186929336', '192805562', '192805550', '192805534', '192805388', '192805372']","['1985647826', '1985647564', '1962353931', '1269612509', '1269612508', '402230905', '304656619', '403219305', '289176889', '288860000', '288859999', '285310496', '285307427', '186929337', '186929336', '192805562', '192805550', '192805534', '192805388', '192805372']"
Rhodoplanes,"['1804926565', '1139291233', '1139291230', '1079707008', '1041792218', '998612511', '589263872', '959201606', '189013959', '672229801', '444737599', '160948186', '403219312', '403219309', '403219307', '397174428', '397174427', '219909081', '219901278', '219901198']","['1804926565', '1139291233', '1139291230', '1079707008', '1041792218', '998612511', '589263872', '959201606', '189013959', '672229801', '444737599', '160948186', '403219312', '403219309', '403219307', '397174428', '397174427', '219909081', '219901278', '219901198']"
Rhodopseudomonas,"['1985647243', '1985644695', '1839230692', '591288185', '1699888395', '1699888394', '1699888391', '1699888386', '1347825907', '1347825897', '1269612463', '1269612506', '1269612505', '1269612499', '1269612498', '1269612493', '1235625389', '1219553058', '1219552832', '1172923359']","['1985647243', '1985644695', '1839230692', '591288185', '1699888395', '1699888394', '1699888391', '1699888386', '1347825907', '1347825897', '1269612463', '1269612506', '1269612505', '1269612499', '1269612498', '1269612493', '1235625389', '1219553058', '1219552832', '1172923359']"
Rhodovarius,"['1182660434', '45724973']","['1182660434', '45724973']"
Rhodovastum,[],[]
Rhodovulum,"['1347825905', '1269612497', '1269612496', '1269612494', '1269612491', '1269612487', '1269612486', '1269612485', '1269612483', '1269612482', '1269612481', '1269612480', '1269612473', '1269612472', '1269612464', '1269612445', '1269612444', '1269612443', '1269612442', '1269612441']","['1347825905', '1269612497', '1269612496', '1269612494', '1269612491', '1269612487', '1269612486', '1269612485', '1269612483', '1269612482', '1269612481', '1269612480', '1269612473', '1269612472', '1269612464', '1269612445', '1269612444', '1269612443', '1269612442', '1269612441']"
Rikenellaceae RC9 gut group,[],[]
Robiginitomaculum,['379056075'],['379056075']
Romboutsia,"['2318645648', '2318642803', '2318642507', '2318642341', '2318642067', '2318641683', '2318640176', '2318637181', '2318637106', '2318636519', '2318635596', '2318632793', '2318631369', '2318630925', '2318629770', '2318629586', '2318629258', '2318626983', '2318626823', '2318625569']","['2318645648', '2318642803', '2318642507', '2318642341', '2318642067', '2318641683', '2318640176', '2318637181', '2318637106', '2318636519', '2318635596', '2318632793', '2318631369', '2318630925', '2318629770', '2318629586', '2318629258', '2318626983', '2318626823', '2318625569']"
Roseateles,"['1139275959', '1139274115', '1139270331', '1139265085', '333774232', '224027627', '224027626', '224027625', '224027624', '224027623', '224027622', '224027621', '158935100', '158935102', '158935101', '158935099', '187455583', '117644074', '117644047']","['1139275959', '1139274115', '1139270331', '1139265085', '333774232', '224027627', '224027626', '224027625', '224027624', '224027623', '224027622', '224027621', '158935100', '158935102', '158935101', '158935099', '187455583', '117644074', '117644047']"
Roseburia,"['2318645692', '2318645691', '2318645619', '2318645504', '2318645474', '2318645418', '2318644065', '2318643660', '2318643474', '2318643388', '2318643017', '2318642790', '2318642761', '2318642640', '2318642625', '2318642539', '2318642154', '2318641995', '2318641766', '2318641384']","['2318645692', '2318645691', '2318645619', '2318645504', '2318645474', '2318645418', '2318644065', '2318643660', '2318643474', '2318643388', '2318643017', '2318642790', '2318642761', '2318642640', '2318642625', '2318642539', '2318642154', '2318641995', '2318641766', '2318641384']"
Roseibacterium,"['693011687', '288860095']","['693011687', '288860095']"
Roseicyclus,"['762210792', '192804614', '28874550']","['762210792', '192804614', '28874550']"
Roseococcus,"['1033474754', '220938762']","['1033474754', '220938762']"
Roseomonas,"['2278608043', '1985647703', '1985646548', '1985646460', '1985646072', '1985645822', '1985645448', '1674370634', '1674370633', '1403730213', '1363983569', '1363983567', '1352666048', '1215531060', '1206270886', '1206270503', '1206270175', '1198363445', '1169640531', '1169640530']","['2278608043', '1985647703', '1985646548', '1985646460', '1985646072', '1985645822', '1985645448', '1674370634', '1674370633', '1403730213', '1363983569', '1363983567', '1352666048', '1215531060', '1206270886', '1206270503', '1206270175', '1198363445', '1169640531', '1169640530']"
Roseovarius,"['1795714267', '1795714266', '1795714265', '1795714264', '1795714261', '1795714259', '1521587690', '1521586861', '1521586509', '1521586508', '1521586507', '1521586506', '1521586505', '1521586384', '371803980', '371803978', '1248817311', '1248817282', '1226144061', '1226144060']","['1795714267', '1795714266', '1795714265', '1795714264', '1795714261', '1795714259', '1521587690', '1521586861', '1521586509', '1521586508', '1521586507', '1521586506', '1521586505', '1521586384', '371803980', '371803978', '1248817311', '1248817282', '1226144061', '1226144060']"
Rothia,"['2318612031', '2318611592', '2278608044', '1962355927', '1962355703', '1898669132', '1269612818', '1269612991', '1139277702', '1139290911', '1139290696', '1139290427', '1139290418', '1139290416', '1139290394', '1139290388', '1139290339', '1139290284', '1139290267', '1139290217']","['2318612031', '2318611592', '2278608044', '1962355927', '1962355703', '1898669132', '1269612818', '1269612991', '1139277702', '1139290911', '1139290696', '1139290427', '1139290418', '1139290416', '1139290394', '1139290388', '1139290339', '1139290284', '1139290267', '1139290217']"
Rubellimicrobium,"['1985647356', '1985645691', '1962355959', '672229512', '321156610', '321156601', '192804655', '107595730', '107595727', '107595725', '107595721', '27529497']","['1985647356', '1985645691', '1962355959', '672229512', '321156610', '321156601', '192804655', '107595730', '107595727', '107595725', '107595721', '27529497']"
Rubritepida,"['296531607', '296531522']","['296531607', '296531522']"
Rubrivivax,"['2066609767', '1699888393', '1699888392', '1699888390', '1699888388', '1699888387', '1699888385', '1699888384', '1699888383', '1347825898', '1269612504', '1269612503', '1079706678', '959201615', '959201614', '959201612', '959201611', '959201602', '817250470', '403219311']","['2066609767', '1699888393', '1699888392', '1699888390', '1699888388', '1699888387', '1699888385', '1699888384', '1699888383', '1347825898', '1269612504', '1269612503', '1079706678', '959201615', '959201614', '959201612', '959201611', '959201602', '817250470', '403219311']"
Rugamonas,[],[]
Ruminiclostridium,"['315466848', '315466847', '315466846', '315466845', '315466844', '313760327', '431245', '431242', '431239', '431235']","['315466848', '315466847', '315466846', '315466845', '315466844', '313760327', '431245', '431242', '431239', '431235']"
Ruminiclostridium 1,[],[]
Ruminobacter,"['1328373127', '1328371467', '1328370606', '1328370032', '1328369748', '974984333', '2739312', '2217934']","['1328373127', '1328371467', '1328370606', '1328370032', '1328369748', '974984333', '2739312', '2217934']"
Ruminococcaceae UCG-005,[],[]
Ruminococcaceae UCG-014,[],[]
Ruminococcus,"['2318645706', '2318645633', '2318645419', '2318645318', '2318645289', '2318645217', '2318644151', '2318644123', '2318644051', '2318643948', '2318643675', '2318643618', '2318643101', '2318643059', '2318642817', '2318642760', '2318642416', '2318642052', '2318641682', '2318641311']","['2318645706', '2318645633', '2318645419', '2318645318', '2318645289', '2318645217', '2318644151', '2318644123', '2318644051', '2318643948', '2318643675', '2318643618', '2318643101', '2318643059', '2318642817', '2318642760', '2318642416', '2318642052', '2318641682', '2318641311']"
Rummeliibacillus,"['1219552715', '1219552713', '1219552709', '1219552706', '1219552703', '1219552702', '1219552696', '1219552691', '1219552689', '1219552687', '1219552686', '1219552685', '1219552683', '1219552681', '1219552678', '1219552677', '1219552675', '1219552674', '1219552650', '1219552649']","['1219552715', '1219552713', '1219552709', '1219552706', '1219552703', '1219552702', '1219552696', '1219552691', '1219552689', '1219552687', '1219552686', '1219552685', '1219552683', '1219552681', '1219552678', '1219552677', '1219552675', '1219552674', '1219552650', '1219552649']"
Salimesophilobacter,[],[]
Salinibacterium,"['388556985', '388556979', '507581301', '478731634', '413958041', '413958040', '413915473', '323713993', '332800767', '332800756', '332800751', '313573509', '268688094', '268688093', '228007483', '78038853']","['388556985', '388556979', '507581301', '478731634', '413958041', '413958040', '413915473', '323713993', '332800767', '332800756', '332800751', '313573509', '268688094', '268688093', '228007483', '78038853']"
Salmonella,"['1990475862', '1041792275', '1010052669', '953266223', '925059495', '925059493', '925059492', '925059491', '925059489', '925059488', '925059486', '925059485', '925059484', '925059483', '925059482', '925059481', '770465025', '770465024', '770465023', '206707319']","['1990475862', '1041792275', '1010052669', '953266223', '925059495', '925059493', '925059492', '925059491', '925059489', '925059488', '925059486', '925059485', '925059484', '925059483', '925059482', '925059481', '770465025', '770465024', '770465023', '206707319']"
Sandaracinobacter,"['333774233', '285307362', '2578812']","['333774233', '285307362', '2578812']"
Sarcina,"['2318640702', '2318622012', '1041791519', '1033473947', '158933913', '32328568', '547548', '547547']","['2318640702', '2318622012', '1041791519', '1033473947', '158933913', '32328568', '547548', '547547']"
Schlesneria,"['1985647931', '1985646180', '1985646161', '1985645640', '1033474699', '124248276']","['1985647931', '1985646180', '1985646161', '1985645640', '1033474699', '124248276']"
Sedimentibacter,"['1219553262', '1219553254', '1219553033', '1219552492', '1219552390', '1219552380', '1219552350', '1219552287', '1219552261', '1219552255', '1219552253', '1219550775', '1219550750', '1219550707', '1219550641', '1219550464', '1219550456', '1219550371', '1206271239', '1206270869']","['1219553262', '1219553254', '1219553033', '1219552492', '1219552390', '1219552380', '1219552350', '1219552287', '1219552261', '1219552255', '1219552253', '1219550775', '1219550750', '1219550707', '1219550641', '1219550464', '1219550456', '1219550371', '1206271239', '1206270869']"
Sediminibacterium,"['1985645222', '1985644078', '1962354134', '1269612828', '1219552638', '1219552637', '1219552636', '1219552635', '1219550697', '1219550597', '923142342', '923142329', '699045406', '974985177', '974984785', '974984041', '927920375', '328683129', '296061868', '187469933']","['1985645222', '1985644078', '1962354134', '1269612828', '1219552638', '1219552637', '1219552636', '1219552635', '1219550697', '1219550597', '923142342', '923142329', '699045406', '974985177', '974984785', '974984041', '927920375', '328683129', '296061868', '187469933']"
SEEP-SRB1,[],[]
Segetibacter,"['1985646430', '1985646069', '1985643128', '1962359550', '1962357097', '998613478']","['1985646430', '1985646069', '1985643128', '1962359550', '1962357097', '998613478']"
Selenihalanaerobacter,[],[]
Selenomonas,"['2318621853', '2318615310', '2318612428', '2318611846', '2278608049', '1962359080', '1962356587', '1328373358', '1328373337', '1328372878', '1328372585', '1328372544', '1328372430', '1328372340', '1328372326', '1328372099', '1328372072', '1328372070', '1328372065', '1328372041']","['2318621853', '2318615310', '2318612428', '2318611846', '2278608049', '1962359080', '1962356587', '1328373358', '1328373337', '1328372878', '1328372585', '1328372544', '1328372430', '1328372340', '1328372326', '1328372099', '1328372072', '1328372070', '1328372065', '1328372041']"
Selenomonas 3,[],[]
Selenomonas 4,[],[]
Serratia,"['2474091210', '2278608052', '2265463987', '1927390199', '1877246620', '1877246616', '1877246580', '1877246579', '1691059631', '1614056613', '1516607770', '1516607769', '1516607768', '1516607767', '1516607766', '1516607765', '1516607764', '1516607763', '1516607762', '1516607761']","['2474091210', '2278608052', '2265463987', '1927390199', '1877246620', '1877246616', '1877246580', '1877246579', '1691059631', '1614056613', '1516607770', '1516607769', '1516607768', '1516607767', '1516607766', '1516607765', '1516607764', '1516607763', '1516607762', '1516607761']"
SHD-231,[],[]
Shewanella,"['2295461721', '2295461719', '2295461706', '2295461700', '2295461697', '2295461693', '2295461691', '2295461689', '2295461687', '2295461684', '2295461683', '2295461681', '2295461680', '2295461679', '2295461678', '2295461661', '2295461655', '2295461646', '2295461644', '2295461643']","['2295461721', '2295461719', '2295461706', '2295461700', '2295461697', '2295461693', '2295461691', '2295461689', '2295461687', '2295461684', '2295461683', '2295461681', '2295461680', '2295461679', '2295461678', '2295461661', '2295461655', '2295461646', '2295461644', '2295461643']"
Shinella,"['1985645224', '1985643427', '923142331', '1033474073', '1033472987', '1025608214', '984880573', '974984677', '906358354', '773554205', '764007145', '764007144', '692313622', '692313618', '692313616', '692313568', '692313566', '223950657', '295809749', '226488737']","['1985645224', '1985643427', '923142331', '1033474073', '1033472987', '1025608214', '984880573', '974984677', '906358354', '773554205', '764007145', '764007144', '692313622', '692313618', '692313616', '692313568', '692313566', '223950657', '295809749', '226488737']"
Sideroxydans,[],[]
Silanimonas,"['1200880082', '1200880081', '1079706112', '1025608222', '375340926', '296531554', '321156628', '121495666', '133737189', '133737181', '133737165', '133737154']","['1200880082', '1200880081', '1079706112', '1025608222', '375340926', '296531554', '321156628', '121495666', '133737189', '133737181', '133737165', '133737154']"
Simplicispira,"['1219553158', '1219553087', '1219553086', '1219550463', '1206269509', '1206256958', '1190331596', '1041792855', '1033472698', '1033472604', '1033472172', '1020158868', '1001180800', '696221438', '90185676', '90185675', '5042139']","['1219553158', '1219553087', '1219553086', '1219550463', '1206269509', '1206256958', '1190331596', '1041792855', '1033472698', '1033472604', '1033472172', '1020158868', '1001180800', '696221438', '90185676', '90185675', '5042139']"
SJA-88,[],[]
Skermanella,"['1985647427', '1985646564', '1985644173', '1985643728', '1985643549', '1985643519', '1962359452', '1103332323', '1015806893', '1010052674', '974983731', '304854947']","['1985647427', '1985646564', '1985644173', '1985643728', '1985643549', '1985643519', '1962359452', '1103332323', '1015806893', '1010052674', '974983731', '304854947']"
SMB53,[],[]
Smithella,"['1206270036', '1206269766', '1206269746', '1206269742', '1206269555', '1206269503', '1206269486', '1206269448', '1206256974', '1079706458', '1079706424', '1079706139', '1041792850', '1033474059', '1033473766', '1033472326', '1033472274', '1033472265', '192806522', '192806318']","['1206270036', '1206269766', '1206269746', '1206269742', '1206269555', '1206269503', '1206269486', '1206269448', '1206256974', '1079706458', '1079706424', '1079706139', '1041792850', '1033474059', '1033473766', '1033472326', '1033472274', '1033472265', '192806522', '192806318']"
Sodalis,"['1045955563', '1045955561', '1045955559', '1045955558', '1045955556', '1045955549', '1045955548', '1045955547', '1045955546', '1045955545', '1045955543', '90818776', '90818764', '175983']","['1045955563', '1045955561', '1045955559', '1045955558', '1045955556', '1045955549', '1045955548', '1045955547', '1045955546', '1045955545', '1045955543', '90818776', '90818764', '175983']"
soil bacterium,[],[]
Sorangium,"['1985647572', '1079706212', '161158851', '186929377', '19171182', '19171181']","['1985647572', '1079706212', '161158851', '186929377', '19171182', '19171181']"
SP3-e08,[],[]
Sphaerotilus,"['1033473758', '1033473090', '1033472387', '315466780', '304854936', '304939544', '304939536', '304939527', '304939524', '304939521', '504539', '504538', '504537', '504536']","['1033473758', '1033473090', '1033472387', '315466780', '304854936', '304939544', '304939536', '304939527', '304939524', '304939521', '504539', '504538', '504537', '504536']"
Sphingobacterium,"['1962357137', '1962356921', '1962354629', '1962354061', '1962353863', '1877246553', '1877246546', '1877246545', '1877246524', '1877246522', '1877246391', '1877246382', '1877246381', '1877246375', '1877246372', '1877246371', '1877246369', '1877246365', '1877246364', '1769932943']","['1962357137', '1962356921', '1962354629', '1962354061', '1962353863', '1877246553', '1877246546', '1877246545', '1877246524', '1877246522', '1877246391', '1877246382', '1877246381', '1877246375', '1877246372', '1877246371', '1877246369', '1877246365', '1877246364', '1769932943']"
Sphingobium,"['2265463524', '1985647765', '1985647010', '1985646807', '1985646091', '1985645963', '1985645590', '1985645009', '1985644225', '1985643171', '1962356919', '1691059547', '1614056567', '1399392587', '1363983581', '1341269523', '1206270760', '1206270079', '1206262542', '1139291209']","['2265463524', '1985647765', '1985647010', '1985646807', '1985646091', '1985645963', '1985645590', '1985645009', '1985644225', '1985643171', '1962356919', '1691059547', '1614056567', '1399392587', '1363983581', '1341269523', '1206270760', '1206270079', '1206262542', '1139291209']"
Sphingomonadaceae bacterium Gsoil 690,[],[]
Sphingomonadaceae bacterium YLT33,[],[]
Sphingomonas,"['2265463515', '2265463485', '1985648113', '1985648019', '1985647636', '1985647505', '1985647175', '1985647098', '1985646752', '1985646696', '1985646497', '1985646109', '1985645973', '1985645835', '1985645816', '1985645702', '1985645678', '1985645668', '1985645654', '1985645630']","['2265463515', '2265463485', '1985648113', '1985648019', '1985647636', '1985647505', '1985647175', '1985647098', '1985646752', '1985646696', '1985646497', '1985646109', '1985645973', '1985645835', '1985645816', '1985645702', '1985645678', '1985645668', '1985645654', '1985645630']"
Sphingomonas sp. SO11,[],[]
Sphingopyxis,"['1985647702', '1985643367', '1795714313', '1399393338', '1399393336', '1399393335', '1399393334', '1399392590', '1206270937', '1206269662', '1200878663', '1200878662', '1200878661', '1200878651', '1139266528', '1133639361', '1033474398', '1033473475', '399219611', '998612526']","['1985647702', '1985643367', '1795714313', '1399393338', '1399393336', '1399393335', '1399393334', '1399392590', '1206270937', '1206269662', '1200878663', '1200878662', '1200878661', '1200878651', '1139266528', '1133639361', '1033474398', '1033473475', '399219611', '998612526']"
Sphingorhabdus,"['1795714318', '1795714315', '1248817315', '1121380046', '953940197', '574607525', '815659662']","['1795714318', '1795714315', '1248817315', '1121380046', '953940197', '574607525', '815659662']"
Sphingosinicella,"['332800820', '332800819', '192806341', '192806073']","['332800820', '332800819', '192806341', '192806073']"
Spirochaeta,"['1985648397', '1343691794', '1206271014', '1206270306', '1206269774', '1206269660', '1206269533', '1206256130', '1206255782', '1079707051', '1079706885', '1079706692', '1079706463', '1079706125', '1039673872', '638111280', '444736541', '444736535', '380691889', '346644506']","['1985648397', '1343691794', '1206271014', '1206270306', '1206269774', '1206269660', '1206269533', '1206256130', '1206255782', '1079707051', '1079706885', '1079706692', '1079706463', '1079706125', '1039673872', '638111280', '444736541', '444736535', '380691889', '346644506']"
Sporocytophaga,"['285307115', '192805266', '13276905', '15485696']","['285307115', '192805266', '13276905', '15485696']"
Sporomusa,"['1219551571', '1219551569', '1219551561', '1219551558', '1219550790', '1219550598', '1219550372', '1146187404', '1146187403', '1079701568', '930697316', '930697235', '930697109', '930697095', '930697071', '758095380', '758095378', '397174452', '397174451', '397174450']","['1219551571', '1219551569', '1219551561', '1219551558', '1219550790', '1219550598', '1219550372', '1146187404', '1146187403', '1079701568', '930697316', '930697235', '930697109', '930697095', '930697071', '758095380', '758095378', '397174452', '397174451', '397174450']"
Sporosarcina,"['2283785999', '1985645435', '1985644034', '1635479636', '1635479611', '1635479608', '1635479601', '1635479600', '1635479599', '1635479598', '1635479597', '1635479596', '1325790579', '1079705681', '1079705164', '1079705108', '1041787856', '1033474762', '1033474456', '1033473800']","['2283785999', '1985645435', '1985644034', '1635479636', '1635479611', '1635479608', '1635479601', '1635479600', '1635479599', '1635479598', '1635479597', '1635479596', '1325790579', '1079705681', '1079705164', '1079705108', '1041787856', '1033474762', '1033474456', '1033473800']"
Staphylococcus,"['2283785998', '2283394919', '2278608056', '2265464008', '2265463999', '2265463995', '2265463991', '2153709629', '2104760009', '2031806617', '1990475856', '1962354393', '1898669129', '1885913352', '1885913344', '1885913333', '1877246707', '683402654', '1839230826', '1827494927']","['2283785998', '2283394919', '2278608056', '2265464008', '2265463999', '2265463995', '2265463991', '2153709629', '2104760009', '2031806617', '1990475856', '1962354393', '1898669129', '1885913352', '1885913344', '1885913333', '1877246707', '683402654', '1839230826', '1827494927']"
Starkeya,"['1899433858', '1219553056', '1219553055', '557675892', '413958071', '115252870']","['1899433858', '1219553056', '1219553055', '557675892', '413958071', '115252870']"
Stenotrophomonas,"['2303472129', '2104758921', '2047618394', '1985647657', '1962356479', '1962354331', '1962354089', '1885913357', '1885913353', '1877246881', '1877246536', '1877246771', '1877246761', '1877246644', '1877246634', '1877246631', '1877246623', '1877246622', '1877246621', '1877246558']","['2303472129', '2104758921', '2047618394', '1985647657', '1962356479', '1962354331', '1962354089', '1885913357', '1885913353', '1877246881', '1877246536', '1877246771', '1877246761', '1877246644', '1877246634', '1877246631', '1877246623', '1877246622', '1877246621', '1877246558']"
Steroidobacter,"['1985648221', '1985648175', '1985647761', '1985647649', '1206270067', '1206269938', '1206269725', '1206269714', '1206269690', '1033474688', '1033474092', '1033473831', '1033473648', '591288223', '560878751', '560878748', '560878742', '560878740', '560878733', '560878731']","['1985648221', '1985648175', '1985647761', '1985647649', '1206270067', '1206269938', '1206269725', '1206269714', '1206269690', '1033474688', '1033474092', '1033473831', '1033473648', '591288223', '560878751', '560878748', '560878742', '560878740', '560878733', '560878731']"
Streptococcus,"['2432229578', '2318645445', '2318645303', '2318643430', '2318642833', '2318642124', '2318641794', '2318638385', '2318637078', '2318634677', '2318632854', '2318630683', '2318626780', '2318625039', '2318623729', '2318621882', '2318621868', '2318620978', '2318619887', '2318618543']","['2432229578', '2318645445', '2318645303', '2318643430', '2318642833', '2318642124', '2318641794', '2318638385', '2318637078', '2318634677', '2318632854', '2318630683', '2318626780', '2318625039', '2318623729', '2318621882', '2318621868', '2318620978', '2318619887', '2318618543']"
Streptomyces,"['5821275', '5821272', '2126713849', '2379949033', '2265463937', '2265463931', '2265463927', '2265463921', '2265463916', '2265463912', '2265463907', '2265463901', '2265463897', '2265463893', '2265463888', '2265463884', '2265463880', '2265463875', '2165858544', '2129436703']","['5821275', '5821272', '2126713849', '2379949033', '2265463937', '2265463931', '2265463927', '2265463921', '2265463916', '2265463912', '2265463907', '2265463901', '2265463897', '2265463893', '2265463888', '2265463884', '2265463880', '2265463875', '2165858544', '2129436703']"
Subdoligranulum,"['2318642889', '2318637379', '2318636461', '2318624666', '2318615684', '2318612512', '2318612487', '2318611135', '51997604']","['2318642889', '2318637379', '2318636461', '2318624666', '2318615684', '2318612512', '2318612487', '2318611135', '51997604']"
Sulfuricella,[],[]
Sulfuricurvum,"['1313717614', '1313717609', '1206257000', '1206256945', '1206256918', '1079706995', '1079706190', '1079705602', '1041793221', '1041792962', '1041792819', '1033474326', '998615525', '998615421', '998613466', '998613224', '998612533', '998611886', '998611253', '914241940']","['1313717614', '1313717609', '1206257000', '1206256945', '1206256918', '1079706995', '1079706190', '1079705602', '1041793221', '1041792962', '1041792819', '1033474326', '998615525', '998615421', '998613466', '998613224', '998612533', '998611886', '998611253', '914241940']"
Sulfuriferula,['21538794'],['21538794']
Sulfurifustis,[],[]
Sulfurimonas,"['1206271297', '1206269784', '1206269760', '1206269485', '1206269483', '1206269477', '1206255936', '1079705495', '1079705431', '1079705081', '1079705079', '1041792949', '1041792933', '1033473864', '998615695', '998615471', '998615403', '998615117', '998614835', '998614745']","['1206271297', '1206269784', '1206269760', '1206269485', '1206269483', '1206269477', '1206255936', '1079705495', '1079705431', '1079705081', '1079705079', '1041792949', '1041792933', '1033473864', '998615695', '998615471', '998615403', '998615117', '998614835', '998614745']"
Sulfuritalea,"['1206270499', '1206270399', '1206269654', '1033474616', '1033474428', '1033472865', '1033472536', '1033472407']","['1206270499', '1206270399', '1206269654', '1033474616', '1033474428', '1033472865', '1033472536', '1033472407']"
Sulfurospirillum,"['1206269787', '1206269455', '1206269453', '1206255548', '1079706550', '1079706409', '1041792794', '1033473759', '1033473485', '998612720', '998610981', '594592437', '594592430', '380691894', '380691893', '380691891', '380691888', '325974615', '183223840', '183223839']","['1206269787', '1206269455', '1206269453', '1206255548', '1079706550', '1079706409', '1041792794', '1033473759', '1033473485', '998612720', '998610981', '594592437', '594592430', '380691894', '380691893', '380691891', '380691888', '325974615', '183223840', '183223839']"
Sulfurovum,"['1206269752', '1206269504', '1206269445', '1206256969', '1079706978', '1079706970', '1079706087', '1041792776', '762207603', '169788235', '192805512']","['1206269752', '1206269504', '1206269445', '1206256969', '1079706978', '1079706970', '1079706087', '1041792776', '762207603', '169788235', '192805512']"
Sunxiuqinia ,[],[]
Sutterella,"['2318643516', '2318643431', '2318642109', '2318640130', '2318627468', '2318625626', '2318624910', '2318624340', '2318622982', '2318621809', '2318621808', '2318621498', '2318620804', '2318618601', '2318618147', '2318617807', '2318616410', '2318615296', '2318614339', '2318613196']","['2318643516', '2318643431', '2318642109', '2318640130', '2318627468', '2318625626', '2318624910', '2318624340', '2318622982', '2318621809', '2318621808', '2318621498', '2318620804', '2318618601', '2318618147', '2318617807', '2318616410', '2318615296', '2318614339', '2318613196']"
Sva0081 sediment group,[],[]
Synechococcus,"['927920386', '927920373', '762210870', '762210560', '762207568', '762207567', '713632730', '146740642', '571257070', '498915359', '498424988', '498424954', '498424952', '493664503', '457863977', '457863976', '457863975', '457863974', '457863973', '457863972']","['927920386', '927920373', '762210870', '762210560', '762207568', '762207567', '713632730', '146740642', '571257070', '498915359', '498424988', '498424954', '498424952', '493664503', '457863977', '457863976', '457863975', '457863974', '457863973', '457863972']"
Syntrophobacter,"['1206269458', '1206256966', '1206256957', '1206256919', '1079706844', '1079706695', '1079706643', '1079706571', '1033474264', '1033472770', '1033472719', '669632948', '357521811', '1304332', '1304331', '4581532']","['1206269458', '1206256966', '1206256957', '1206256919', '1079706844', '1079706695', '1079706643', '1079706571', '1033474264', '1033472770', '1033472719', '669632948', '357521811', '1304332', '1304331', '4581532']"
Syntrophomonas,"['1399386259', '1399386251', '1399386241', '1399386048', '1399386043', '1399386035', '1328373108', '1219550618', '1206271155', '1206271135', '1206270933', '1206270581', '1206270467', '1206270347', '1206269991', '1206256041', '1206255834', '1206255769', '1206255664', '1206255658']","['1399386259', '1399386251', '1399386241', '1399386048', '1399386043', '1399386035', '1328373108', '1219550618', '1206271155', '1206271135', '1206270933', '1206270581', '1206270467', '1206270347', '1206269991', '1206256041', '1206255834', '1206255769', '1206255664', '1206255658']"
Syntrophorhabdus,"['1206271341', '1206271266', '1206270381', '1206269798', '1206269783', '1206269526', '1206256963', '1206256915', '1079706651', '1079706641', '1079706539', '1041793216', '1041792941', '1041792856', '1033473964', '1033473837', '1033472296', '1033472295', '1033472203', '378401441']","['1206271341', '1206271266', '1206270381', '1206269798', '1206269783', '1206269526', '1206256963', '1206256915', '1079706651', '1079706641', '1079706539', '1041793216', '1041792941', '1041792856', '1033473964', '1033473837', '1033472296', '1033472295', '1033472203', '378401441']"
Syntrophus,"['1206269790', '1206269789', '1206269747', '1206269595', '1206269525', '1079707050', '1079706976', '1079706140', '1033474483', '1033473200', '1033472591', '1033472323', '955660757', '955660756', '955660755', '955660753', '955660742', '955660741', '955660740', '955660739']","['1206269790', '1206269789', '1206269747', '1206269595', '1206269525', '1079707050', '1079706976', '1079706140', '1033474483', '1033473200', '1033472591', '1033472323', '955660757', '955660756', '955660755', '955660753', '955660742', '955660741', '955660740', '955660739']"
Tabrizicola,[],[]
